"Final Schedule: Sicilian Games 2025-26
Box Cricket: Venue Shaishya Pulse Arena
#BNIKhelega",,,,,,,,,,,,
Sr No.,Date,Day,Duration,Reporting Time,Start Time,End Time,Group,Group - Chapter,vs,Group,Group - Chapter,
39,29-Dec-25,Monday,60 mins,9:30 PM,10:00 PM,11:00 PM,B3,Hades & Anatolius -B3,vs,B4,Kleon -B4,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pre Quarters - Top 16,,,,,,,,,,,,
40,5-Jan-26,Monday,60 mins,6:30 PM,7:00 PM,8:00 PM,Q1,,vs,Q16,,
41,5-Jan-26,Monday,60 mins,7:30 PM,8:00 PM,9:00 PM,Q2,,vs,Q15,,
42,5-Jan-26,Monday,60 mins,8:30 PM,9:00 PM,10:00 PM,Q3,,vs,Q14,,
43,5-Jan-26,Monday,60 mins,9:30 PM,10:00 PM,11:00 PM,Q4,,vs,Q13,,
44,5-Jan-26,Monday,60 mins,10:30 PM,11:00 PM,12:00 AM,Q5,,vs,Q12,,
45,5-Jan-26,Monday,60 mins,8:30 PM,9:00 PM,10:00 PM,Q6,,vs,Q11,,
46,5-Jan-26,Monday,60 mins,9:30 PM,10:00 PM,11:00 PM,Q7,,vs,Q10,,
47,5-Jan-26,Monday,60 mins,10:30 PM,11:00 PM,12:00 AM,Q8,,vs,Q9,,
Quarter Finals - Top 8,,,,,,,,,,,,
Q1,6-Jan-25,Tuesday,60 mins,6:30 PM,7:00 PM,8:00 PM,Q1,,vs,Q8,,SF1
Q2,6-Jan-25,Tuesday,60 mins,7:30 PM,8:00 PM,9:00 PM,Q2,,vs,Q7,,SF2
Q3,6-Jan-25,Tuesday,60 mins,6:30 PM,7:00 PM,8:00 PM,Q3,,vs,Q6,,SF2
Q4,6-Jan-25,Tuesday,60 mins,7:30 PM,8:00 PM,9:00 PM,Q4,,vs,Q5,,SF1
Semi Finals,,,,,,,,,,,,
SF1,6-Jan-25,Tuesday,60 mins,8:30 PM,9:00 PM,10:00 PM,Q1,,vs,Q4,,
SF2,6-Jan-25,Tuesday,60 mins,9:30 PM,10:00 PM,11:00 PM,Q2,,vs,Q3,,
Finals and 3rd Position,,,,,,,,,,,,
3rd Position,8-Jan-25,Thursday,60 mins,6:30 PM,7:00 PM,8:00 PM,,,vs,,,
Finals  ,8-Jan-25,Thursday,60 mins,7:30 PM,8:00 PM,9:00 PM,,,vs,,,
